objectA,relation,objectB,label
akita_black_bowl_1,is_behind,akita_black_bowl_2,FN
akita_black_bowl_1,is_behind,cookies_1,TP
akita_black_bowl_1,is_behind,wooden_cabinet_1,FN
akita_black_bowl_1,is_on_top_of,flat_stove_1,TP
akita_black_bowl_1,is_right_of,glazed_rim_porcelain_ramekin_1,TP
akita_black_bowl_1,is_right_of,plate_1,TP
akita_black_bowl_2,is_in_front_of,akita_black_bowl_1,FN
akita_black_bowl_2,is_in_front_of,flat_stove_1,FN
akita_black_bowl_2,is_on_top_of,wooden_cabinet_1,TP
akita_black_bowl_2,is_right_of,cookies_1,TP
akita_black_bowl_2,is_right_of,glazed_rim_porcelain_ramekin_1,TP
akita_black_bowl_2,is_right_of,plate_1,TP
cookies_1,is_in_front_of,akita_black_bowl_1,TP
cookies_1,is_in_front_of,flat_stove_1,TP
cookies_1,is_in_front_of,glazed_rim_porcelain_ramekin_1,TP
cookies_1,is_left_of,akita_black_bowl_2,TP
cookies_1,is_left_of,wooden_cabinet_1,TP
cookies_1,is_right_of,plate_1,TP
flat_stove_1,is_behind,akita_black_bowl_2,FN
flat_stove_1,is_behind,cookies_1,TP
flat_stove_1,is_behind,plate_1,FN
flat_stove_1,is_behind,wooden_cabinet_1,FN
flat_stove_1,is_below_of,akita_black_bowl_1,TP
flat_stove_1,is_right_of,glazed_rim_porcelain_ramekin_1,TP
glazed_rim_porcelain_ramekin_1,is_behind,cookies_1,TP
glazed_rim_porcelain_ramekin_1,is_behind,plate_1,TP
glazed_rim_porcelain_ramekin_1,is_left_of,akita_black_bowl_1,TP
glazed_rim_porcelain_ramekin_1,is_left_of,akita_black_bowl_2,TP
glazed_rim_porcelain_ramekin_1,is_left_of,flat_stove_1,TP
glazed_rim_porcelain_ramekin_1,is_left_of,wooden_cabinet_1,TP
plate_1,is_in_front_of,flat_stove_1,FN
plate_1,is_in_front_of,glazed_rim_porcelain_ramekin_1,TP
plate_1,is_left_of,akita_black_bowl_1,TP
plate_1,is_left_of,akita_black_bowl_2,TP
plate_1,is_left_of,cookies_1,TP
plate_1,is_left_of,wooden_cabinet_1,TP
wooden_cabinet_1,is_below_of,akita_black_bowl_2,TP
wooden_cabinet_1,is_in_front_of,akita_black_bowl_1,FN
wooden_cabinet_1,is_in_front_of,flat_stove_1,FN
wooden_cabinet_1,is_right_of,cookies_1,TP
wooden_cabinet_1,is_right_of,glazed_rim_porcelain_ramekin_1,TP
wooden_cabinet_1,is_right_of,plate_1,TP
