format,task_group,task_id,episode_ix,seed,success,sum_reward,max_reward,video_path,predicted_video_path,output_dir
standard,libero_spatial,0,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_0\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,0,1,1001,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_0\eval_episode_1.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,0,2,1002,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_0\eval_episode_2.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,0,3,1003,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_0\eval_episode_3.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,1,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_1\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,1,1,1001,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_1\eval_episode_1.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,1,2,1002,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_1\eval_episode_2.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,1,3,1003,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_1\eval_episode_3.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,3,0,1000,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_3\eval_episode_0.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
standard,libero_spatial,3,1,1001,False,0.0,0.0,C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_22_00_56_24\standard\videos\libero_spatial_3\eval_episode_1.mp4,,C:/Users/hassa/OneDrive/Desktop/EmbodimentSemantic/vla_benchmarking/ablation_outputs/sg_format_ablation_2026_07_22_00_56_24/standard
