task,demo,frame,camera,objectA,relation,objectB
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,0,agentview,plate_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,0,agentview,plate_1,is_on_top_of,akita_black_bowl_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,0,agentview,plate_1,is_on_top_of,akita_black_bowl_2
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_on_top_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_left_of,cookies_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_left_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_left_of,flat_stove_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_left_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,5,agentview,akita_black_bowl_1,is_left_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,akita_black_bowl_1,is_on_top_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_on_top_of,akita_black_bowl_2
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,25,agentview,plate_1,is_on_top_of,akita_black_bowl_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,30,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,30,agentview,akita_black_bowl_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,30,agentview,akita_black_bowl_1,is_on_top_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,40,agentview,plate_1,is_on_top_of,akita_black_bowl_2
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,45,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,45,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,45,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,45,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,45,agentview,akita_black_bowl_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_left_of,flat_stove_1
