task,demo,frame,camera,objectA,relation,objectB
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,black_stove,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,black_stove,is_behind,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,white_plate,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,white_plate,is_left_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,0,wrist,cookie,is_right_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,white_plate,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,black_stove,is_below_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,cookie,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,30,wrist,white_plate,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_bowl,is_behind,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_stove,is_behind,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,black_stove,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,white_plate,is_right_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,cookie,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,60,wrist,white_plate,is_right_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,white_plate,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,black_stove,is_below_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,cookie,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,90,wrist,white_plate,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,cookie,is_left_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,red_drawer,is_right_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,black_stove,is_left_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,wrist,red_drawer,is_right_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,150,wrist,black_bowl,is_behind,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,150,wrist,red_drawer,is_in_front_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,180,wrist,black_bowl,is_behind,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,180,wrist,red_drawer,is_in_front_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,210,wrist,black_bowl,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,210,wrist,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,240,wrist,black_bowl,is_in_front_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,240,wrist,red_drawer,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,270,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,270,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,300,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,300,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,330,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,330,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_bowl,is_left_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,cookie,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,cookie,is_behind,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,cookie,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_stove,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,black_stove,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,white_plate,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,wrist,white_plate,is_right_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,black_bowl,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,cookie,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,black_bowl,is_in_front_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,white_plate,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,cookie,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,wrist,white_plate,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,420,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,420,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,450,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,450,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,0,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,0,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,30,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,30,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,60,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,60,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,90,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,90,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,120,wrist,red_drawer,is_right_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,120,wrist,black_stove,is_left_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,150,wrist,black_bowl,is_behind,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,150,wrist,red_drawer,is_in_front_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,180,wrist,black_bowl,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,180,wrist,black_stove,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,270,wrist,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,270,wrist,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,300,wrist,black_bowl,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,300,wrist,black_stove,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,330,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,330,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,360,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,360,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,390,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,390,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,420,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,420,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,black_bowl,is_left_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,cookie,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,cookie,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,450,wrist,white_plate,is_right_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_bowl,is_in_front_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,red_drawer,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_bowl,is_left_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_stove,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_bowl,is_left_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,cookie,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,red_drawer,is_behind,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_stove,is_in_front_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,red_drawer,is_behind,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,red_drawer,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,white_plate,is_in_front_of,red_drawer
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_stove,is_behind,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,black_stove,is_behind,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,white_plate,is_in_front_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,cookie,is_on_top_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,480,wrist,white_plate,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,black_bowl,is_in_front_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,cookie,is_behind,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,cookie,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,510,wrist,black_stove,is_below_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,black_bowl,is_left_of,cookie
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,cookie,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_1,540,wrist,black_stove,is_left_of,cookie
