objectA,relation,objectB,label
akita_black_bowl_1,is_behind,cookies_1,TP
akita_black_bowl_1,is_in_front_of,flat_stove_1,TP
akita_black_bowl_1,is_right_of,glazed_rim_porcelain_ramekin_1,TP
akita_black_bowl_1,is_right_of,plate_1,TP
cookies_1,is_in_front_of,akita_black_bowl_1,TP
cookies_1,is_in_front_of,flat_stove_1,TP
cookies_1,is_in_front_of,glazed_rim_porcelain_ramekin_1,TP
cookies_1,is_right_of,plate_1,TP
flat_stove_1,is_behind,akita_black_bowl_1,TP
flat_stove_1,is_behind,cookies_1,TP
flat_stove_1,is_behind,plate_1,TP
flat_stove_1,is_right_of,glazed_rim_porcelain_ramekin_1,FN
glazed_rim_porcelain_ramekin_1,is_behind,cookies_1,TP
glazed_rim_porcelain_ramekin_1,is_behind,plate_1,TP
glazed_rim_porcelain_ramekin_1,is_left_of,akita_black_bowl_1,TP
glazed_rim_porcelain_ramekin_1,is_left_of,flat_stove_1,FN
plate_1,is_in_front_of,flat_stove_1,TP
plate_1,is_in_front_of,glazed_rim_porcelain_ramekin_1,TP
plate_1,is_left_of,akita_black_bowl_1,TP
plate_1,is_left_of,cookies_1,TP
