task,demo,frame,camera,objectA,relation,objectB
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_bowl,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_stove,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_bowl,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_bowl,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,red_drawer,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_stove,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,red_drawer,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,red_drawer,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,white_plate,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_stove,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,black_stove,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,white_plate,is_in_front_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,cookie,is_right_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,agent_view,white_plate,is_left_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_bowl,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_stove,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_bowl,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_bowl,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,red_drawer,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_stove,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,red_drawer,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,red_drawer,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,white_plate,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_stove,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,black_stove,is_behind,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,white_plate,is_in_front_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,cookie,is_right_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,30,agent_view,white_plate,is_left_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_bowl,is_behind,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_stove,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_bowl,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_bowl,is_right_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,white_plate,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,red_drawer,is_behind,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_stove,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,red_drawer,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,red_drawer,is_right_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,white_plate,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_stove,is_left_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,cookie,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,black_stove,is_left_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,white_plate,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,cookie,is_in_front_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,agent_view,white_plate,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,black_bowl,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,black_stove,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,black_bowl,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,agent_view,cookie,is_in_front_of,black_bowl
