[2026-07-24 03:14:26] Run started: sg_format_ablation_2026_07_24_03_14_26
[2026-07-24 03:14:26] Manifest written: C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_24_03_14_26\ablation_manifest.json
[2026-07-24 03:14:26] Formats: triplet_published, triplet_human, triplet_human_bar, triplet_human_shared_subject, natural_separate, natural_compact, natural_compact_current, natural_compact_no_label, natural_compact_context_first
[2026-07-24 03:14:26] Tasks: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-07-24 03:14:26] Episodes per task/format: 1
[2026-07-24 03:14:26] Estimated prompt rows per format: 10
[2026-07-24 03:14:26] [1/9] START triplet_published -> C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_24_03_14_26\triplet_published
[2026-07-24 03:14:31] PROGRESS format=triplet_published [1/9] format_est=0.0% overall_est=0.0% prompt_rows=0/10
[2026-07-24 03:15:32] PROGRESS format=triplet_published [1/9] format_est=0.0% overall_est=0.0% prompt_rows=0/10
[2026-07-24 03:16:32] PROGRESS format=triplet_published [1/9] format_est=0.0% overall_est=0.0% prompt_rows=0/10
[2026-07-24 03:16:47] PROGRESS format=triplet_published [1/9] format_est=10.0% overall_est=1.1% prompt_rows=1/10
[2026-07-24 03:17:47] PROGRESS format=triplet_published [1/9] format_est=10.0% overall_est=1.1% prompt_rows=1/10
[2026-07-24 03:18:02] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=11/10
[2026-07-24 03:18:47] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=21/10
[2026-07-24 03:19:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=31/10
[2026-07-24 03:20:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=33/10
[2026-07-24 03:20:28] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=41/10
[2026-07-24 03:21:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=51/10
[2026-07-24 03:22:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=61/10
[2026-07-24 03:23:24] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=61/10
[2026-07-24 03:23:39] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=71/10
[2026-07-24 03:24:39] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=71/10
[2026-07-24 03:24:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=81/10
[2026-07-24 03:25:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=81/10
[2026-07-24 03:25:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=89/10
[2026-07-24 03:25:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=91/10
[2026-07-24 03:26:55] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=91/10
[2026-07-24 03:27:00] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=101/10
[2026-07-24 03:28:00] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=101/10
[2026-07-24 03:28:05] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=109/10
[2026-07-24 03:28:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=111/10
[2026-07-24 03:29:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=121/10
[2026-07-24 03:30:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=131/10
[2026-07-24 03:30:56] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=141/10
[2026-07-24 03:31:51] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=151/10
[2026-07-24 03:32:52] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=151/10
[2026-07-24 03:32:57] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=160/10
[2026-07-24 03:33:02] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=161/10
[2026-07-24 03:34:02] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=161/10
[2026-07-24 03:34:07] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=171/10
[2026-07-24 03:35:07] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=171/10
[2026-07-24 03:35:12] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=180/10
[2026-07-24 03:35:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=181/10
[2026-07-24 03:36:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=181/10
[2026-07-24 03:36:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=191/10
[2026-07-24 03:37:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=191/10
[2026-07-24 03:37:28] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=197/10
[2026-07-24 03:37:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=201/10
[2026-07-24 03:38:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=201/10
[2026-07-24 03:38:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=211/10
[2026-07-24 03:39:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=211/10
[2026-07-24 03:39:43] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=221/10
[2026-07-24 03:40:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=221/10
[2026-07-24 03:40:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=227/10
[2026-07-24 03:40:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=231/10
[2026-07-24 03:41:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=231/10
