dataset,row_type,task,camera,episodes_or_demos,raw_frames,sampled_frames,frame_step,frame_max,fps,frame_len_min,frame_len_max,notes
SO101,config,ALL,ALL,,,8252,30,10000,30.0,,,"cameras=agent_view|wrist; samples about 1 frame per second"
SO101,total,ALL,ALL,257,240598,8252,30,10000,30.0,,,"raw/sample totals across both configured cameras"
SO101,total,ALL,per_camera,257,120299,4126,30,10000,30.0,,,"per single configured RGB camera"
SO101,task_camera,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-le,agent_view,53,27840,949,30,10000,30.0,,,
SO101,task_camera,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-le,wrist,53,27840,949,30,10000,30.0,,,
SO101,task_total,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-le,ALL,53,55680,1898,30,10000,30.0,,,
SO101,task_camera,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,agent_view,47,26787,917,30,10000,30.0,,,"metadata missing episode indices 12|13|14|15"
SO101,task_camera,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,wrist,47,26787,917,30,10000,30.0,,,"metadata missing episode indices 12|13|14|15"
SO101,task_total,move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,ALL,47,53574,1834,30,10000,30.0,,,"metadata missing episode indices 12|13|14|15"
SO101,task_camera,place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,agent_view,52,21547,740,30,10000,30.0,,,
SO101,task_camera,place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,wrist,52,21547,740,30,10000,30.0,,,
SO101,task_total,place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,ALL,52,43094,1480,30,10000,30.0,,,
SO101,task_camera,place-the-black-bowl-from-the-left-to-the-top-of-the-stove,agent_view,53,22569,775,30,10000,30.0,,,
SO101,task_camera,place-the-black-bowl-from-the-left-to-the-top-of-the-stove,wrist,53,22569,775,30,10000,30.0,,,
