task,demo,frame,camera,objectA,relation,objectB
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,0,wrist,black_bowl,is_right_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,0,wrist,black_stove,is_left_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,120,wrist,black_bowl,is_left_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,120,wrist,black_stove,is_right_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,150,wrist,black_bowl,is_left_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,150,wrist,black_stove,is_right_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_bowl,is_behind,red_drawer
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,red_drawer,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_bowl,is_behind,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_stove,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_bowl,is_behind,cookie
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_bowl,is_behind,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,red_drawer,is_left_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_stove,is_right_of,red_drawer
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,red_drawer,is_left_of,cookie
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,cookie,is_right_of,red_drawer
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,red_drawer,is_left_of,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,white_plate,is_right_of,red_drawer
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_stove,is_left_of,cookie
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,cookie,is_right_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,black_stove,is_left_of,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,white_plate,is_right_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,cookie,is_left_of,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,180,wrist,white_plate,is_right_of,cookie
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,210,wrist,black_bowl,is_behind,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,210,wrist,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,240,wrist,black_bowl,is_right_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,240,wrist,black_stove,is_left_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,270,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,270,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,300,wrist,black_bowl,is_behind,white_plate
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,300,wrist,white_plate,is_in_front_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,330,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,330,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,360,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,360,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,390,wrist,black_bowl,is_on_top_of,black_stove
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,390,wrist,black_stove,is_below_of,black_bowl
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_45,420,wrist,black_bowl,is_in_front_of,black_stove
