task,demo,frame,camera,objectA,relation,objectB
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_left_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_right_of,akita_black_bowl_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_in_front_of,plate_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_on_top_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_on_top_of,akita_black_bowl_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_inside,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,contains,akita_black_bowl_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_left_of,cookies_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_left_of,cookies_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_right_of,cookies_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,cookies_1,is_in_front_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_left_of,wooden_cabinet_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_left_of,wooden_cabinet_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_right_of,wooden_cabinet_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,cookies_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_left_of,flat_stove_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_left_of,flat_stove_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_right_of,flat_stove_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,cookies_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_left_of,akita_black_bowl_2
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_left_of,akita_black_bowl_2
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_1,is_right_of,akita_black_bowl_2
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,ramekin_1,is_in_front_of,akita_black_bowl_2
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,0,eye_in_hand,akita_black_bowl_2,is_in_front_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,akita_black_bowl_1,is_left_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,ramekin_1,is_right_of,akita_black_bowl_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,ramekin_1,is_in_front_of,plate_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,akita_black_bowl_1,is_below_of,ramekin_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,ramekin_1,is_below_of,akita_black_bowl_1
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,demo_0,1,eye_in_hand,akita_black_bowl_1,is_on_top_of,ramekin_1
