task,demo,frame,camera,objectA,relation,objectB
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_in_front_of,akita_black_bowl_2
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_behind,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_behind,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,glazed_rim_porcelain_ramekin_1,is_below_of,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_right_of,plate_
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_1,is_in_front_of,akita_black_bowl_2
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_2,is_behind,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,cookies_1,is_behind,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,glazed_rim_porcelain_ramekin_1,is_below_of,akita_black_bowl_1
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_1,is_right_of,plate_1
