task,demo,frame,camera,objectA,relation,objectB
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_left_of,akita_black_bowl_2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_left_of,akita_black_bowl_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_right_of,akita_black_bowl_2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_right_of,akita_black_bowl_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_0,60,agentview,akita_black_bowl_2,is_in_front_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_13,60,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_14,80,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_16,20,agentview,akita_black_bowl_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_17,70,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_17,80,agentview,akita_black_bowl_1,is_on_top_of,glazed_rim_porcelain_ramekin
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,plate_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,plate_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,plate_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,glazed_rim_porcelain_ramekin_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,cookies_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,cookies_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,cookies_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_19,55,agentview,cookies_1,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_20,15,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_20,15,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_20,15,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_20,15,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_20,40,agentview,plate_1,is_on_top_of,akita_black
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_22,60,agentview,akita_black_bowl_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_22,80,agentview,akita_black_bowl_2,is_on_top_of,glazed_rim_porcelain_ramekin_
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_23,15,agentview,plate_1,is_on_top_of,flat
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_23,30,agentview,akita_black_bowl_2,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_24,40,agentview,akita_black_bowl_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_28,30,agentview,akita_black_bowl_2,is_on_top_of,cookies_
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,akita_black_bowl_1,is_left_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,akita_black_bowl_1,is_right_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,akita_black_bowl_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,akita_black_bowl_2
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,flat_stove_1,is_on_top_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,flat_stove_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,flat_stove_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,flat_stove_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,wooden_cabinet_1,is_on_top_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,wooden_cabinet_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,wooden_cabinet_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,wooden_cabinet_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,cookies_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,cookies_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,cookies_1,is_on_top_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,cookies_1,is_on_top_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,glazed_rim_porcelain_ramekin_1,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,glazed_rim_porcelain_ramekin_1,is_on_top_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,glazed_rim_porcelain_ramekin_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,glazed_rim_porcelain_ramekin_1,is_on_top_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_3,0,agentview,plate_1,is_in_front_of,cookies_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,35,agentview,akita_black_bowl_1,is_on_top_of,glazed_rim_porcelain_ramekin
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,65,agentview,akita_black_bowl_1,is_in_front_of,plate_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,65,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,65,agentview,akita_black_bowl_1,is_in_front_of,wooden_cabinet_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,65,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,demo_30,65,agentview,plate_1,is_on_top_of,akita_black_bowl_1
