task,demo,frame,camera,objectA,relation,objectB
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,cookie,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,cookie,is_in_front_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,cookie,is_in_front_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_bowl,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_bowl,is_left_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_bowl,is_left_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,red_drawer,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,red_drawer,is_left_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,red_drawer,is_left_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_stove,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_stove,is_right_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_stove,is_right_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,black_stove,is_left_of,white_plate
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,white_plate,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,white_plate,is_right_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,white_plate,is_right_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,30,wrist,white_plate,is_right_of,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,60,wrist,cookie,is_behind,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,60,wrist,black_bowl,is_in_front_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,90,wrist,cookie,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,90,wrist,red_drawer,is_behind,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,cookie,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,cookie,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,red_drawer,is_right_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,red_drawer,contains,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,black_bowl,is_right_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,120,wrist,black_bowl,is_inside,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,150,wrist,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,150,wrist,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,180,wrist,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,180,wrist,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,210,wrist,black_bowl,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,210,wrist,red_drawer,is_behind,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,black_bowl,is_in_front_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,red_drawer,is_behind,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,black_bowl,is_right_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,cookie,is_left_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,red_drawer,is_right_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,240,wrist,cookie,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,270,wrist,black_bowl,is_on_top_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,270,wrist,red_drawer,is_below_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,300,wrist,black_bowl,is_behind,black_stove
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,300,wrist,black_stove,is_in_front_of,black_bowl
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,330,wrist,red_drawer,is_right_of,cookie
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,330,wrist,cookie,is_left_of,red_drawer
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_51,360,wrist,cookie,is_behind,white_plate
