task,demo,frame,camera,objectA,relation,objectB
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_left_of,akita_black_bowl_2
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_on_top_of,cookies_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_right_of,plate_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_left_of,wooden_cabinet_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_1,is_in_front_of,flat_stove_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_right_of,akita_black_bowl_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_right_of,cookies_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_right_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_right_of,plate_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_on_top_of,wooden_cabinet_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,akita_black_bowl_2,is_right_of,flat_stove_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_below_of,akita_black_bowl_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_left_of,akita_black_bowl_2
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_in_front_of,glazed_rim_porcelain_ramekin_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_right_of,plate_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_left_of,wooden_cabinet_1
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,0,agentview,cookies_1,is_in_front_of,flat_
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,demo_0,50,agentview,akita_black_bowl_1,is_on_top_of,cookies_1
