[2026-07-24 15:47:17] Run started: sg_format_ablation_2026_07_24_15_47_17
[2026-07-24 15:47:17] Manifest written: C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_24_15_47_17\ablation_manifest.json
[2026-07-24 15:47:17] Formats: natural_compact, natural_compact_context_first, triplet_human_shared_subject
[2026-07-24 15:47:17] Tasks: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-07-24 15:47:17] Episodes per task/format: 1
[2026-07-24 15:47:17] Estimated prompt rows per format: 10
[2026-07-24 15:47:17] [1/3] START natural_compact -> C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_24_15_47_17\natural_compact
[2026-07-24 15:47:22] PROGRESS format=natural_compact [1/3] format_est=0.0% overall_est=0.0% prompt_rows=0/10
[2026-07-24 15:48:12] PROGRESS format=natural_compact [1/3] format_est=10.0% overall_est=3.3% prompt_rows=1/10
[2026-07-24 15:48:57] PROGRESS format=natural_compact [1/3] format_est=60.0% overall_est=20.0% prompt_rows=6/10
[2026-07-24 15:49:02] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=11/10
[2026-07-24 15:49:42] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=18/10
[2026-07-24 15:49:47] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=21/10
[2026-07-24 15:50:27] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=22/10
[2026-07-24 15:50:32] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=31/10
[2026-07-24 15:51:18] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=41/10
[2026-07-24 15:52:03] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=51/10
[2026-07-24 15:52:43] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=56/10
[2026-07-24 15:52:48] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=61/10
[2026-07-24 15:53:28] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=71/10
[2026-07-24 15:54:08] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=72/10
[2026-07-24 15:54:13] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=81/10
[2026-07-24 15:54:53] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=88/10
[2026-07-24 15:54:58] PROGRESS format=natural_compact [1/3] format_est=100.0% overall_est=33.3% prompt_rows=91/10
